,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,French,English
0,0,0,0,partie,part
1,1,1,1,histoire,history
2,2,2,2,chercher,search
3,3,3,3,seulement,only
4,4,4,5,pensais,thought
5,5,5,6,aide,help
6,6,6,7,demande,request
7,7,9,11,laisser,let
8,8,10,12,car,because
9,9,11,13,mettre,to put
10,10,12,14,aucun,no
11,11,13,15,laisse,leash
12,12,15,17,ville,city
13,14,17,21,devrait,should
14,15,18,22,bébé,baby
15,16,19,23,longtemps,long time
16,17,20,24,vont,will
17,18,21,25,pendant,while
18,19,22,26,revoir,meet again
19,20,24,28,parle,speak
20,21,26,30,savais,knew
21,22,28,32,voici,here is
22,23,29,33,pourrais,could
23,24,30,35,donner,give
24,26,35,41,endroit,place
25,27,36,42,yeux,eyes
26,28,37,43,façon,way
27,29,38,44,dont,whose
28,30,39,45,trouve,find
29,31,40,46,perdu,lost
30,32,42,49,côté,side
31,33,43,50,pouvoir,power
32,34,44,51,vieux,old
33,35,45,52,sois,be
34,36,46,53,tiens,here
35,37,48,55,tellement,so much
36,38,49,56,enfant,child
37,39,50,57,point,point
38,40,51,58,venu,came
39,41,54,63,minutes,minutes
40,42,55,64,demandé,request
41,43,56,65,chambre,bedroom
42,44,57,66,mis,placed
43,45,58,67,belle,beautiful
44,46,59,68,aimerais,would like to
45,47,61,70,cause,cause
46,48,62,71,enfin,finally
47,49,63,72,espère,hope
48,50,64,73,eau,water
49,51,65,74,attendez,Wait
50,52,66,75,parti,left
51,53,67,76,nouvelle,new
52,54,68,77,boulot,job
53,55,69,78,terre,Earth
54,56,70,79,donne,given
55,58,72,81,fin,end
56,59,74,83,chérie,sweetheart
57,60,75,84,gros,large
58,61,76,85,plutôt,rather
59,62,77,86,aura,will have
60,63,79,88,bureau,office
